bins,enough,far,FFTstop,FFTLength,FFTType,iota,mergeVariance,p,samples,support,Weight-,Acceleration+,Mpg+,N+
0.8,0.8,0.55,0.0,8,00111101,0.8,0.9,6,9,6,1836.0,17.0,30.0,11
0.1,0.5,0.65,0.1,9,000010110,0.2,0.65,5,7,10,2155.0,16.0,30.0,79
0.4,0.4,0.55,0.9,4,1101,0.2,0.95,8,9,5,2155.0,16.0,30.0,79
0.9,0.2,0.95,0.2,6,100110,0.7,0.95,8,10,10,2155.0,16.0,30.0,79
0.7,0.8,0.6,0.1,7,0001110,0.2,0.99,7,8,5,2155.0,16.0,30.0,79
0.5,0.7,0.85,0.8,6,110101,0.6,0.99,3,10,2,2155.0,16.0,30.0,79
0.4,0.1,0.55,0.3,10,0100010010,0.1,0.99,9,9,10,2155.0,16.0,30.0,79
0.7,0.4,0.55,0.1,7,0111110,0.8,0.85,9,8,4,2140.0,16.0,30.0,64
0.4,0.7,0.5,0.6,10,0001010001,0.8,0.7,9,8,2,2698.0,15.0,20.0,194
0.4,0.9,0.99,0.9,10,1000110110,0.9,0.99,9,10,10,3201.5,16.0,20.0,78
0.4,0.6,0.9,0.8,10,1001011110,0.3,0.99,9,7,8,2239.5,16.0,30.0,208
0.8,0.2,0.95,0.3,10,1110101001,0.7,0.7,3,9,8,2155.0,16.0,30.0,79
0.5,0.8,0.75,0.7,8,00101101,0.9,0.55,3,7,10,2155.0,16.0,30.0,79
0.3,0.2,0.5,0.2,10,0100001010,0.6,0.6,6,5,4,2140.0,16.0,30.0,64
0.9,0.9,0.6,0.7,4,1110,0.8,0.99,8,7,3,2155.0,16.0,30.0,79
0.5,0.5,0.9,0.3,4,1110,0.9,0.9,7,10,2,2155.0,16.0,30.0,79
0.8,0.9,0.55,0.8,7,1001110,0.4,0.75,2,7,10,2833.0,16.0,20.0,145
0.9,0.7,0.99,0.2,8,01000110,0.5,0.5,3,9,7,1992.5,19.0,30.0,20
0.2,0.8,0.7,0.6,4,0010,0.1,0.85,8,10,9,2388.0,16.0,30.0,228
0.2,0.9,0.85,0.5,3,010,0.4,0.99,4,8,2,2232.0,16.0,30.0,204
0.2,0.9,0.65,0.2,9,011011010,0.3,0.85,6,6,10,2155.0,16.0,30.0,79
0.4,0.9,0.75,0.2,7,0110110,0.8,0.99,5,8,8,2155.0,16.0,30.0,79
0.7,0.3,0.75,0.7,5,11101,0.9,0.6,3,6,7,2155.0,16.0,30.0,79
0.1,0.9,0.55,0.1,9,001000101,0.1,0.95,8,7,3,2255.0,17.0,30.0,6
0.6,0.5,0.65,0.1,5,11110,0.5,0.7,2,7,5,2075.0,16.0,30.0,117
0.9,0.3,0.75,0.9,9,001011101,0.4,0.85,5,10,3,3365.0,15.0,20.0,249
0.5,0.6,0.8,0.0,8,11111001,0.4,0.99,8,5,10,2220.0,16.0,30.0,106
0.6,0.7,0.99,0.9,8,00010101,0.7,0.6,4,8,5,2408.0,16.0,20.0,123
0.7,0.9,0.99,0.7,2,10,0.9,0.85,8,10,6,2246.0,16.0,30.0,211
0.6,0.7,0.9,0.6,9,010101001,0.2,0.6,3,10,10,2230.0,16.0,30.0,161
