Dataset 0,Mean,Median,StDev,25th,75th,Min,Max
Time
000000,0.13913126945495605
100000,0.04873818397521973
010000,0.7946389389038085
001000,13.80261516571045
000100,1.2085650157928467
000010,0.09232422828674317
000001,0.11227791786193847
Accuracy
000000,0.7836937463471655,0.7796610169491526,0.04437535076417022,0.7457627118644068,0.8135593220338984,0.711864406779661,0.8620689655172413
100000,0.7638924605493864,0.7758620689655172,0.054103892725198624,0.711864406779661,0.8103448275862069,0.6724137931034483,0.8448275862068966
010000,0.7556399766218586,0.7413793103448276,0.06148775731650296,0.6949152542372882,0.8103448275862069,0.6610169491525424,0.8448275862068966
001000,0.7817767387492693,0.8103448275862069,0.06854738697998095,0.7413793103448276,0.8135593220338984,0.6610169491525424,0.896551724137931
000100,0.7871654003506723,0.7966101694915254,0.050535359474974444,0.7457627118644068,0.8275862068965517,0.6610169491525424,0.8620689655172413
000010,0.7672939801285797,0.7758620689655172,0.04765407771024229,0.7288135593220338,0.7966101694915254,0.6440677966101694,0.8448275862068966
000001,0.7857510227936879,0.7758620689655172,0.054214476739743764,0.7457627118644068,0.8135593220338984,0.6610169491525424,0.8793103448275862
Precision
000000,0.7559047848834873,0.76,0.13315793328973605,0.6666666666666666,0.8484848484848485,0.5,1.0
100000,0.7584547432102319,0.84375,0.28832475945687297,0.625,0.9629629629629629,0.0,1.0
010000,0.615837153092826,0.6610169491525424,0.20847025576961886,0.5,0.7619047619047619,0,0.88
001000,0.7865884298193396,0.8181818181818182,0.21486417044568706,0.6875,0.9183673469387755,0,1.0
000100,0.7856291442452051,0.8103448275862069,0.19729888449755226,0.75,0.8571428571428571,0,1.0
000010,0.6314639442695392,0.6956521739130435,0.2608535025222582,0.6111111111111112,0.813953488372093,0,0.8936170212765957
000001,0.7229300010891033,0.75,0.1987673872409905,0.6470588235294118,0.8421052631578947,0.0,1.0
FalseAlarm
000000,0.2800305308726361,0.10526315789473684,0.3372211135083213,0.02631578947368421,0.5454545454545454,0.0,1.0
100000,0.22425214551530342,0.09523809523809523,0.3097070768090789,0.0,0.25,0.0,1.0
010000,0.39039568618515985,0.18421052631578946,0.3585525509737386,0.1111111111111111,0.6363636363636364,0,1.0
001000,0.2915134806713754,0.05263157894736842,0.39177695600349605,0.022222222222222223,0.36363636363636365,0,1.0
000100,0.2999240525556315,0.10526315789473684,0.38150891474577875,0.023809523809523808,0.35,0.0,1.0
000010,0.2842126528442318,0.15555555555555556,0.3099436098085332,0.023809523809523808,0.45454545454545453,0,1.0
000001,0.2846583124477861,0.13333333333333333,0.31020779196480536,0.07894736842105263,0.36363636363636365,0.0,1.0
Recall
000000,0.5964344166471827,0.6666666666666666,0.31953977915408904,0.3076923076923077,0.9148936170212766,0.0625,1.0
100000,0.4719392486945679,0.3125,0.3714721126181923,0.125,0.7948717948717948,0.0,1.0
010000,0.6285864312991973,0.7619047619047619,0.34935194271270237,0.3333333333333333,0.9574468085106383,0,1.0
001000,0.5838251110591536,0.6923076923076923,0.3720781653059766,0.19047619047619047,0.9574468085106383,0,1.0
000100,0.5879487179487181,0.6190476190476191,0.33512351410108476,0.375,0.9047619047619048,0,1.0
000010,0.5490741173719897,0.717948717948718,0.37471607542463625,0.23076923076923078,0.8974358974358975,0,1.0
000001,0.6515031953861741,0.7692307692307693,0.30417115331574673,0.38461538461538464,0.9148936170212766,0.0,1.0
